view_count;likes;dislikes;comment_count
1048888;19515;226;1319
15352638;359277;7479;18729
925281;11212;401;831
2641597;39131;441;3745
715724;32887;367;1067
36124750;965069;16618;59657
93337;5595;103;464
271736;16622;90;743
535044;9207;384;1900
598045;9431;318;2208
630958;8611;238;4549
5465106;260091;3070;13136
2323592;292060;1204;10662
439749;3150;841;1953
8555203;409131;3387;13403
3080415;132904;4445;4943
745069;39199;882;1389
2282094;45553;2280;6410
61996017;1014057;4721;103859
3209398;169047;1500;3669
4939065;143161;1066;2165
467685;4174;362;2848
1273002;20993;582;1879
1987966;76651;370;8120
9576198;779651;11838;3231
118234;1750;67;56
831973;20570;389;779
872372;38626;239;621
34881793;653296;11242;51882
1948792;105053;4834;10157
1226989;43212;889;1874
4896494;359418;5211;1266
3284924;237093;3637;1111
2169614;243671;2650;3596
758587;25358;1187;21644
2825761;157437;925;13651
696182;37133;379;827
402044;4900;113;834
1398663;61780;1295;4030
338811161;2127834;102831;41675
2375271;116383;1532;8797
889913;25372;442;891
2111088;50562;644;1599
734888;63514;975;7514
1658384;41917;477;1401
95705;3915;168;194
588757;6520;144;722
738778;11821;218;1202
6504784;262477;5779;7907
3582464;110237;11403;5484
2310454;41694;301;2831
2308251;17776;646;741
1827691;33764;435;887
581087;21981;285;873
1231096;28691;485;1733
604938;21384;226;1230
18853006;437526;15883;26095
412591136;16354127;281252;5284107
805487;16607;148;902
2766371;53930;1132;1967
338038;19829;700;226
28245216;145033;8906;7216
4048868;173594;4225;15454
499456;5310;262;4273
692686;5373;484;3295
1435781;65952;2284;2959
128144;9762;122;112
349575;27420;327;2535
2178036;141271;486;3121
430610;41536;1323;1820
618307;30148;715;1147
177806;5029;1446;1716
1384613;65577;1303;3969
143878;2344;129;403
326828;12503;79;506
398121;24853;3362;3947
2360332;48120;1141;4998
3033836;128151;720;13824
1473338;71147;2130;2039
3306384;134463;9620;6329
5194860;89391;2217;5615
1236419;27897;2021;579
1942681;65039;2473;8401
714458;19234;268;638
408932;5364;35;848
1100852;92706;1409;2251
5785347;183412;4180;8540
1607906;100097;847;5573
1085103;40206;2292;7038
1065652;30386;726;4504
385767;7202;107;486
1460137;10257;760;454
153786;1644;57;235
17653398;579469;18121;5753
2742806;143077;9017;8988
533084;38965;119;1650
7511236;205691;4560;18426
69414249;2879997;153517;5509
235810;1737;50;193
2251592;162035;2444;3299
5720966;374297;6109;11399
892994;93924;298;4529
75170;159;18;9
1057077;22526;531;773
9724219;233527;897;7311
305955;15787;256;726
379061;6743;123;1813
6151732;565438;12964;16835
223484;2697;136;702
783222;71080;257;2660
1208124;44100;819;2051
1210000;60313;567;4052
455400;13928;239;1669
163160664;4566918;420720;19847
420935;9776;2876;1085
362279552;2148387;137011;119660
5091788;68137;753;2279
255788;23610;346;1118
2055050;95784;678;3331
230974;13342;230;4303
26437168;241994;23326;11602
562933;9217;411;6161
2889489;61802;1977;12997
382944;12528;222;319
3283512;184933;2038;7250
2139910;85600;1267;5917
519092;23095;409;796
191191;9684;92;398
821927;13078;196;1274
3092717;174332;1941;4824
113342;6751;63;1054
2190629;226686;1553;10090
382790;6190;109;851
6083768;128404;1880;5943
620919;6638;928;2562
3092655;49712;1631;1535
1408768;88669;606;5216
12041750;929047;15439;78024
1756711;178536;2729;17903
6798144;443987;6996;1143
226091;2166;114;657
589004;29793;533;1516
425328;9804;94;751
167761;6678;80;319
3723778;199787;3412;7368
300924;9236;225;1473
1652070;28342;995;2586
47002050;1107057;15912;56814
7071743;196643;8737;11910
7868817;276861;10823;17676
3372929;142397;425;6484
620556;56027;983;4183
56447923;465220;12652;13231
129371;4772;91;1030
1780432;15236;602;3407
1952750;67310;15844;5354
568693;35698;322;1420
2288857;84855;698;4755
2098152;115044;1355;2590
2426638;29287;781;4772
303265;8102;152;480
2805562;144888;1411;1966
1133432;89482;1466;289
4535820;76992;1229;3518
12313899;246638;1017;36231
660780;19718;391;912
436589;21768;205;1118
205437;10509;375;1732
26811074;421750;16825;22009
130127;3232;49;101
2161075;175915;1796;5621
2758991;47668;1222;2659
1176473;33321;397;876
1084208;31427;617;2177
1311397;13031;1847;233
15831250;1109541;11203;143352
647795;42193;305;1938
1444351;25432;592;1860
1060581;70698;483;3526
541208;14902;923;751
12330189;583677;9364;14999
1933283;148342;783;13465
1724965;119431;325;1578
851900;19327;717;2105
898920;81990;1430;4121
2318202;197405;2803;1400
1670540;64347;1827;1107
714819;19007;3077;2894
1935302;71513;2113;7669
5627310;106358;3613;9346
606761;1789;1409;1327
4662868;236746;1418;17020
239682;7691;215;1332
607404;30497;419;1988
4046803;73623;750;3509
1610195;11748;722;2462
1003827;44893;635;3506
1496794;56174;820;3127
2417442;153338;692;12472
